statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;3243538;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;8776906736;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;9597092385;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;820185649;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;1161190257;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;1386859444;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;993149559;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;225669910;EUR 1000;STR060;Turnover tax advance payments;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2024;DINSG;Germany;DG;Germany;3131417;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;4248073736;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;4529932566;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;-;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;443117424;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;548084523;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;499868708;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;105340488;EUR 1000;STR060;Turnover tax advance payments;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2003;DINSG;Germany;DG;Germany;2915482;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;5752249357;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;6276933498;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;-;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;797362129;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;938810253;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;846149487;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;142436817;EUR 1000;STR060;Turnover tax advance payments;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2012;DINSG;Germany;DG;Germany;3250319;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;9049031156;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;9890700799;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;841669643;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;1191791297;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;1401353746;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;985610899;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;209563140;EUR 1000;STR060;Turnover tax advance payments;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2023;DINSG;Germany;DG;Germany;3124585;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;5687178565;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;6200441414;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;-;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;786744087;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;925788968;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;834688238;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;139565770;EUR 1000;STR060;Turnover tax advance payments;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2011;DINSG;Germany;DG;Germany;3215095;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2022;DINSG;Germany;DG;Germany;8874515205;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2022;DINSG;Germany;DG;Germany;9744070017;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2022;DINSG;Germany;DG;Germany;869554812;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2022;DINSG;Germany;DG;Germany;1252587046;EUR 1000;STR059;Deductible input tax;e
